Type,Sex,Age,Weight,DaysInShelter
Cat,Female,15,9.8,9
Cat,Female,2,10.5,28
Cat,Male,0,4.5,28
Cat,Female,4,10.8,22
Cat,Male,0,4.3,18
Cat,Male,3,9,30
Cat,Male,3,10,16
Dog,Female,10,3.3,6
Dog,Male,0,22,7
Dog,Male,3,54,19
Dog,Female,6,9.5,14
Dog,Male,1,16.5,11
Dog,Female,1,46,12
Dog,Female,3,48.25,20
Dog,Male,3,55.3,16
